cancer_type,cohort,metric,sample_count,mutation_count,frequency,ancestry_race_available,source,source_url_or_id,generated_at,license_note
,luad_tcga_pan_can_atlas_2018,EGFR PACC frequency,65,6,0.092308,False,cBioPortal,data/processed/cbioportal_egfr_sample_flags.csv,2026-06-11T23:09:56+00:00,"cBioPortal public API; source cohort licenses vary, review original study terms."
,luad_tcga_pan_can_atlas_2018,compound EGFR frequency,65,13,0.2,False,cBioPortal,data/processed/cbioportal_egfr_sample_flags.csv,2026-06-11T23:09:56+00:00,"cBioPortal public API; source cohort licenses vary, review original study terms."
,luad_tcga_pan_can_atlas_2018,EGFR+TP53 frequency,65,43,0.661538,False,cBioPortal,data/processed/cbioportal_egfr_sample_flags.csv,2026-06-11T23:09:56+00:00,"cBioPortal public API; source cohort licenses vary, review original study terms."
,luad_tcga_pan_can_atlas_2018,EGFR+RB1 frequency,65,7,0.107692,False,cBioPortal,data/processed/cbioportal_egfr_sample_flags.csv,2026-06-11T23:09:56+00:00,"cBioPortal public API; source cohort licenses vary, review original study terms."
,luad_tcga_pub,EGFR PACC frequency,33,4,0.121212,False,cBioPortal,data/processed/cbioportal_egfr_sample_flags.csv,2026-06-11T23:09:56+00:00,"cBioPortal public API; source cohort licenses vary, review original study terms."
,luad_tcga_pub,compound EGFR frequency,33,10,0.30303,False,cBioPortal,data/processed/cbioportal_egfr_sample_flags.csv,2026-06-11T23:09:56+00:00,"cBioPortal public API; source cohort licenses vary, review original study terms."
,luad_tcga_pub,EGFR+TP53 frequency,33,20,0.606061,False,cBioPortal,data/processed/cbioportal_egfr_sample_flags.csv,2026-06-11T23:09:56+00:00,"cBioPortal public API; source cohort licenses vary, review original study terms."
,luad_tcga_pub,EGFR+RB1 frequency,33,3,0.090909,False,cBioPortal,data/processed/cbioportal_egfr_sample_flags.csv,2026-06-11T23:09:56+00:00,"cBioPortal public API; source cohort licenses vary, review original study terms."
,lusc_tcga_pan_can_atlas_2018,EGFR PACC frequency,14,0,0.0,False,cBioPortal,data/processed/cbioportal_egfr_sample_flags.csv,2026-06-11T23:09:56+00:00,"cBioPortal public API; source cohort licenses vary, review original study terms."
,lusc_tcga_pan_can_atlas_2018,compound EGFR frequency,14,1,0.071429,False,cBioPortal,data/processed/cbioportal_egfr_sample_flags.csv,2026-06-11T23:09:56+00:00,"cBioPortal public API; source cohort licenses vary, review original study terms."
,lusc_tcga_pan_can_atlas_2018,EGFR+TP53 frequency,14,13,0.928571,False,cBioPortal,data/processed/cbioportal_egfr_sample_flags.csv,2026-06-11T23:09:56+00:00,"cBioPortal public API; source cohort licenses vary, review original study terms."
,lusc_tcga_pan_can_atlas_2018,EGFR+RB1 frequency,14,1,0.071429,False,cBioPortal,data/processed/cbioportal_egfr_sample_flags.csv,2026-06-11T23:09:56+00:00,"cBioPortal public API; source cohort licenses vary, review original study terms."
,lusc_tcga_pub,EGFR PACC frequency,7,0,0.0,False,cBioPortal,data/processed/cbioportal_egfr_sample_flags.csv,2026-06-11T23:09:56+00:00,"cBioPortal public API; source cohort licenses vary, review original study terms."
,lusc_tcga_pub,compound EGFR frequency,7,2,0.285714,False,cBioPortal,data/processed/cbioportal_egfr_sample_flags.csv,2026-06-11T23:09:56+00:00,"cBioPortal public API; source cohort licenses vary, review original study terms."
,lusc_tcga_pub,EGFR+TP53 frequency,7,6,0.857143,False,cBioPortal,data/processed/cbioportal_egfr_sample_flags.csv,2026-06-11T23:09:56+00:00,"cBioPortal public API; source cohort licenses vary, review original study terms."
,lusc_tcga_pub,EGFR+RB1 frequency,7,1,0.142857,False,cBioPortal,data/processed/cbioportal_egfr_sample_flags.csv,2026-06-11T23:09:56+00:00,"cBioPortal public API; source cohort licenses vary, review original study terms."
LUAD/LUSC,TCGA-LUAD,EGFR PACC frequency,616,10,0.016234,False,TCGA/GDC,data/raw/gdc/maf_files,2026-06-11T23:09:56+00:00,GDC open-access masked somatic mutation MAF files; use per GDC data policies.
LUAD/LUSC,TCGA-LUAD,compound EGFR frequency,91,17,0.186813,False,TCGA/GDC,data/raw/gdc/maf_files,2026-06-11T23:09:56+00:00,GDC open-access masked somatic mutation MAF files; use per GDC data policies.
LUAD/LUSC,TCGA-LUAD,EGFR+TP53 frequency,91,58,0.637363,False,TCGA/GDC,data/raw/gdc/maf_files,2026-06-11T23:09:56+00:00,GDC open-access masked somatic mutation MAF files; use per GDC data policies.
LUAD/LUSC,TCGA-LUAD,EGFR+RB1 frequency,91,6,0.065934,False,TCGA/GDC,data/raw/gdc/maf_files,2026-06-11T23:09:56+00:00,GDC open-access masked somatic mutation MAF files; use per GDC data policies.
LUAD/LUSC,TCGA-LUSC,EGFR PACC frequency,544,0,0.0,False,TCGA/GDC,data/raw/gdc/maf_files,2026-06-11T23:09:56+00:00,GDC open-access masked somatic mutation MAF files; use per GDC data policies.
LUAD/LUSC,TCGA-LUSC,compound EGFR frequency,16,1,0.0625,False,TCGA/GDC,data/raw/gdc/maf_files,2026-06-11T23:09:56+00:00,GDC open-access masked somatic mutation MAF files; use per GDC data policies.
LUAD/LUSC,TCGA-LUSC,EGFR+TP53 frequency,16,14,0.875,False,TCGA/GDC,data/raw/gdc/maf_files,2026-06-11T23:09:56+00:00,GDC open-access masked somatic mutation MAF files; use per GDC data policies.
LUAD/LUSC,TCGA-LUSC,EGFR+RB1 frequency,16,1,0.0625,False,TCGA/GDC,data/raw/gdc/maf_files,2026-06-11T23:09:56+00:00,GDC open-access masked somatic mutation MAF files; use per GDC data policies.
